movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt26520259,Invisible Hacker,2023,150 min,"Action, Sci-Fi",10,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »",Juwel Chowdhury,"Juwel Chowdhury, 
Ricky Riyaf"
tt22941072,An Example of Teenage Boredom: The Movie,2022,46 min,"Action, Comedy, Western",10,"It's the time of the Wild West. No. It's the time of the late 80s. Uh. It's the time of the Present Time. Nope. Hold on. Thunder and Laughter. No. Stairs. Walking. And more stairs. No. Grass. Sky. An-Old-Man-Near-A-Tree. Oh, it's done.","Lachlan Mlinaric, 
Russell Stanley","William Cherry, 
Isaac Hutchins, 
Lily Hutchins, 
John Mlinaric"
tt5873376,Love Mein,2022,60 min,"Action, Romance",10,This is 2016's love story where the only daughter of multi-millionaire businessman is in deep love with son of his co-worker. Would her father accept the relationship or not?,Kumud Pant,"Kumud Pant, 
Pooja Kimaya, 
Atul Sharma, 
Bharat Mistri"
tt12585100,Low Heat,2021,48 min,"Action, Comedy, Drama",9.9,The foul mouth quick quipping Jamal becomes involved with two greedy drug dealers in a drug deal that's gone completely off track. Jamal becomes captured alongside an unlikely ally. The ...                See full summary »,John Carroll DeShazier,"Clinton D. Walker, 
Dustin Bennett, 
Ricardo Randall, 
Warren Franks"
tt14402742,The Shoonyah: Chapter 1 - Blow of the War Horns,2021,,Action,9.8,"This epic fantasy fiction portrays Indian martial art form Kalarippayattu at it's best. The magnificent journey of a martial art prodigy from a young aspiring boy to a legendary warrior, ...                See full summary »",Deepak S.V.,"Siddharth Nigam, 
Nithish, 
Deep Joshi"
tt0478554,Angelito San Miguel at Ang Mga Batang City Jail,1991,107 min,"Action, Crime, Drama",9.8,Angelito leads a group of young ex-convicts who will risk going back to prison in order to fight a notorious syndicate.,Deo Fajardo Jr.,"Raymart Santiago, 
Keempee de Leon, 
Kier Legaspi, 
Joko Diaz"
tt5298592,Hangga't may hininga,1964,,Action,9.8,Three fighting brothers in blood out to kill their own father.,Jose Miranda Cruz,"Vic Andaya, 
Joji Crespo, 
Cleng-Cleng Diaz, 
Bella Flores"
tt21482466,The Key of Baku,2022,90 min,Action,9.8,Add a Plot,Zaur Tahirsoy,"Niza Ahmad, 
Anar Ali, 
Ibrahim Alizade, 
Urfan Cabbarli"
tt22900276,Masand,2022,132 min,Action,9.7,"Based on true events, the film revolves around Masands who committed crimes during 1980 to 2010 in Punjab. They burnt families alive, raped and killed innocent children. Their rising terror spoiled the atmosphere in Punjab.","Vikrant Sidhu, 
Jagtar Singh Jagga","Rabbi Kandola, 
Nishawn Bhullar, 
Amrinder Billing, 
Simran Dhiman"
tt18362762,Shiba King: Assassination,2022,96 min,"Action, Comedy, Mystery",9.7,"A dark comedy, murder mystery, and virtual odyssey following Detective Burgers and MonsterMutt trying to solve the assassination of the king of the Shibas, Pikapetey.","Evan Carter, 
Matt Sullivan","Talothefox, 
Monstermutt, 
BleuSomme, 
Tailled"
tt21114222,Prince of Eurasia,2022,60 min,"Action, Biography, History",9.7,"Rare historical biography of Prince Oak Oakleyski was encapsulated in this movie. Filming mainly in Uzbekistan, the original homeland of royal ancestry of Prince Oak Oakleyski. Some dust-up actions were brought into play for zest.","I. Kolyada, 
Prince Oak Oakleyski","Nadezhda Borimskaya, 
Eldar Mahyanov, 
Batyrkhan Abayevich Malikov, 
Anastasia Marusenko"
tt15891060,Thorn in the Center of the Heart (Sin Lai Guh Ling Bang Do),2021,82 min,Action,9.7,"Khan Pi is a father, retired from military special operations, and struggling to pay medical bills since the death of his wife. Offered a chance to get rich, Khan Pi has to decide whether to care for his family or maintain his integrity.",Thang Mung,"Anthony Tucker Amirante, 
Nuam Boih, 
Emily Buckner, 
Shawn Christopher"
tt16161958,Agent Big Bones: Who Killed Jason Bones?,2021,,Action,9.7,Add a Plot,Vikram Benipal,"Vikram Benipal, 
Harshal Brahmbhatt, 
Jason Buyers, 
James Zhao Lu"
tt0444194,"Isa para sa lahat, lahat para sa isa",1979,117 min,Action,9.6,Add a Plot,Armando A. Herrera,"Fernando Poe Jr., 
Andy Poe, 
Conrad Poe, 
Frederick Poe"
tt9795588,The Bed-Sitting Room,2016,60 min,"Action, Drama, War",9.6,This is a BBC radio play based on the John Antrobus surreal post apocalyptic stage play. Made into a film in 1969.,Sam Michell,"John Antrobus, 
Sean Baker, 
Bernard Cribbins, 
Derek Jacobi"
tt22462224,Lakhey,2022,135 min,"Action, Thriller",9.6,"Sameer Maharjan, born in a family Lakhey, is a bank manager. He regards Lakhey as Lord Indra and the protector of the community. His professional and family life is ruined as he gets ...                See full summary »",Samrat Basnet,"Aaryan Adhikari, 
Rakshya Budhathoki, 
Saugat Malla, 
Nutan"
