movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt26626687,The Universal Quest,2023,145 min,"Adventure, Sci-Fi",10,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »",Juwel Chowdhury,"Juwel Chowdhury, 
Ricky Riyaf"
tt22768254,Kalpvariksha (Part One): Paramchakra,2022,50 min,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences,Rehan Katrawale,"Rehan Katrawale, 
Sunaksh Bhagat, 
Atul Dogra, 
Pankaj Kumar"
tt21607606,La Canne du Roi,2021,97 min,Adventure,9.8,"Ola and Tagla find the Recade of the King Shark, a very powerful and coveted ancient artifact that disappeared when the King died. Their only hope is to bring the recade back to Loko the new King of Danxomey.",Reilinght Tchobo,
tt21052610,Prince Oak Oakleyski: Lord Kandanai Maneesawath,2022,60 min,"Adventure, Biography, History",9.8,"Biography of his early life, team history, and exciting adventure of Prince Oak Oakleyski a.k.a. Lord Kandanai Maneesawath in real life movie. This movie demonstrates many aspects of how Prince Oak Oakleyski unveiled himself.","I. Kolyada, 
Prince Oak Oakleyski","Olga Kolyada, 
Dulat Mukhametkaliyev, 
Prince Oak Oakleyski"
tt1053817,Buried in Tucson,2007,70 min,"Adventure, Drama",9.8,"Anton and Lena have a simple, self-obsessed relationship till a chance opportunity falls into their path, $980,000 buried in the desert. As they get closer to their dreams, a world of lies,...                See full summary »",Jeff Gallea,"Christopher Dallton, 
Sonja Mobley, 
Joe Lorenzo, 
Samuel Hernández"
tt11384560,Tutankhamun: Enter the Tomb,2019,,"Adventure, History",9.7,Add a Plot,Joel Newton,Hugh Bonneville
tt15040694,Unpacking,2022,81 min,Adventure,9.6,"Six American women, sold on the promise of radical transformation, travel to Bali into the hands of an Instagram-like guru and her Indonesian assistant, and get slapped with reality: change is messy AF.","Alexandra Clayton, 
Michal Sinnott","Dania Arancha, 
Handayadi Awur Yadi, 
Sam Bianchini, 
Katie Braden"
tt11603230,La Muerte De Un Federal,2019,97 min,"Crime, Adventure, Action",9.6,Add a Plot,Alonso O. Lara,"Jesus Esparza, 
Luis Huizar, 
Vianey Huizar, 
Jesus Heredia"
tt2966696,The Silent e,2013,74 min,"Animation, Adventure, Family",9.5,"The Silent e is an epic adventure of a letter 'e' who can't speak but must find his parents in the Times New Roman Empire. Led by the Evil 4, the Arial Race commences genocide on all Times ...                See full summary »",Christopher DeMaci,"Charles Anteby, 
Andrew Cappelletti, 
Curt Clendenin, 
Christopher DeMaci"
tt21407240,Welcome to Balkan,2022,100 min,"Adventure, Comedy",9.5,Add a Plot,Ana Banduka,"Mikelle Tyson, 
Micko Markovic, 
Eva Ras, 
Milenko Pavlov"
tt5049258,My Journey: Mencari Mata Air,2016,95 min,Adventure,9.5,"Four young people; Chinta, Cindy, Tasya and Celine intend to fill their holidays with friends come from New York named Lucas who are interested in the environment, especially the water ...                See full synopsis »",Joko Nugroho,"Btari Chinta, 
Christopher V. Warren, 
Cindy Celine, 
Celine Wahyudi"
tt21288778,Gandhada Gudi,2022,99 min,"Adventure, Family, Musical",9.4,"An epic musical celebration of India's blessed land, precious culture and incredible stories at an unprecedented scale, complete with songs and the beauty of nature.",Amoghavarsha,"Puneeth Rajkumar, 
Amoghavarsha"
tt6853998,Sachin: The Ultimate Winner,2023,,Adventure,9.4,A school boy named Sachin wants to be a successful cricketer like Sachin Tendulkar. Unfortunately Sachin meets with an accident and gets paralyzed. Will he make a full recovery and become a cricketer?,Dweep Raj Kochhar,"Ved Thappar, 
Dhruv Raj, 
Shivani Sharma, 
Dweep Raj Kochhar"
tt8714784,Turning Mecard W: The Secret of Van dine - Special Edition,2018,76 min,"Animation, Action, Adventure",9.4,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »",Heon Pyo Hong,So Yeon
tt3975604,Halcyon Dreams,2016,73 min,"Adventure, Drama, Fantasy",9.4,"A group of interconnected individuals are on a journey of various 'states' of heaven, hell and purgatory to rediscover their lost childhood dreams and aspirations.",Han Rhyu,"Hanimal Chin, 
Armando DuBon Jr., 
Hunter Fite, 
Heather Morrow"
tt10498722,Juan Balucas at ang Bayabas,2018,85 min,"Adventure, Comedy, Fantasy",9.4,"Juan Balucas at ang Bayabas features Nourish ""Icon"" Lapus, as JUAN BALUCAS, the son of JOHN (Archie Alemania) who has been mistaken to be Juan Tamad and turned into stone by the mystical ...                See full summary »",Franco G. Arce,"Archie Alemania, 
Nourish Icon Lapuz, 
Rolando Inocencio, 
Gabby Padilla"
tt13992188,House of Cards: Rust,2021,55 min,"Adventure, Thriller",9.4,Betrayal and vengeance come crashing down when Frost is accidentally plunged into a secret organization. All within a game called: Rust.,"BlxckNoir, 
Chriss, 
Frost, 
Retro",
tt1285143,Veera Prathap,1987,144 min,"Action, Adventure, Comedy",9.4,"Veera Pratap is a 1987 Indian Telugu film, directed by B. Vittalacharya and produced by Mohan Babu. The film stars Mohan Babu and Madhavi in lead roles. Music of the film was composed by Shanker Ganesh.",B. Vittalacharya,"Mohan Babu, 
Madhavi"
tt14391292,Mr. Local Man,2019,82 min,Adventure,9.4,"Nhwale(Josephs Quartzy), a young villager of a bushman ancestry was lost in a town where he was brought by accident while he entered the foreign van who were hunting in their home forest.",Joseph Squinquel,"Bonnie Dennison, 
Emil Marwa, 
Agness Nyama, 
Josephs Quartzy"
tt5339116,The Sea Falling for the Blues,2015,95 min,"Adventure, Drama",9.4,"A young woman meets a young fisherman on a beautiful deserted beach. They spend the day discussing, swimming and playing in the water. While he sleeps on the beach, she leaves the scene and walks slowly away on the beach.",Abdelwaheb Bouden,"Amira Ben Youssef, 
Mehdi Midani"
tt5696284,The Wind & the Reckoning,2022,94 min,"Adventure, Drama, History",9.3,"As an outbreak of leprosy engulfs 19th-century colonial Hawai'i, a small group of infected Native Hawaiians resist government-mandated exile, taking a courageous stand against the provisional government. Inspired by real-life events.",David L. Cunningham,"Lance Kerwin, 
Henry Ian Cusick, 
Johnathon Schaech, 
Jason Scott Lee"
tt14671126,The Tesla Case,2022,90 min,"Adventure, Comedy, Family",9.3,"""The Tesla Case"" is a contemporary story about Tony and Raya, already turned 12, who remained good friends after their misadventures in ""The Curie Case"" movie. Aspiring young ""inventor"" ...                See full summary »",Andrey Hadjivasilev,"Martin Paunov, 
Polly Ivanova, 
Neda Spasova, 
Martin Ghiaurov"
tt20865464,Memory Lane,2022,63 min,"Action, Adventure, Music",9.3,This time travel music adventure follows Arcadia Smith as he discovers he can relive the past and see into the future.,Ross Holman,"Bianca Holman, 
Ross Holman, 
Steven Wilkins"
tt16239960,Vila Redstone - O Filme,2021,264 min,"Adventure, Comedy",9.3,"Internet success between 2016 and 2017, review the best moments of one of Redstone Gang's biggest series.",Francisco Miguel Lima,"Paulo Viníccius Santos Ferraz, 
Davi Freitas, 
Francisco Miguel Lima"
tt17592606,Daman,2022,121 min,"Adventure, Drama",9.2,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Prasad Lenka Debi, 
Vishal Mourya","Babushan Mohanty, 
Dipanwit Dashmohapatra, 
Manaswani Takri, 
Sriharsa Purohit"
tt0259534,Ramayana: The Legend of Prince Rama,1993,97 min,"Animation, Action, Adventure",9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Ram Mohan, 
Yûgô Sakô, 
Koichi Saski","Bryan Cranston, 
Arun Govil, 
Nikhil Kapoor, 
Edie Mirman"
tt10071606,Supreme Motherhood: The Journey of Mata Sahib Kaur,2022,100 min,"Animation, Adventure, History",9.2,"The story of Mata Sahib Kaur Ji, also known as the Mother of the Khalsa, as she became a strong female leader of the Khalsa nation in 17th and 18th-century India.",Karandeep Singh,
tt17043084,Pinpoint,2022,99 min,"Action, Adventure",9.2,"After discovering John Mosby's ancient, hidden treasure, two teams compete in an exhilarating treasure hunt. The teams join together, after the hunt turns into a survival rather than a game.",Nathan Staley,"Neil Bhagwani, 
Kale Conaway, 
Dante Demarino, 
Milin Goldstein"
tt11377142,Route 66,2019,,Adventure,9.2,"Four boys from Leeds, England dreamt of this day for over a decade. Now, in the peak of their mid (not late) 20's, they embark on the most famous commute planet earth has to offer. They laugh. They Cry. They fall out. They make up.",Rob Kellas,"Matthew Briody, 
Ryan Eaglen, 
Rob Kellas, 
Danny White"
tt15226714,The Big Gift,2022,115 min,"Adventure, Comedy",9.2,Add a Plot,Jarrod Crooks,"Jarrod Crooks, 
Scott Brault, 
Erin Antilla, 
DJ Quaile"
tt3030714,Time and Time Again,2013,95 min,"Action, Adventure",9.2,"In order to find yourself, sometimes you need to figure how to lose yourself.",Joe L. Roberts,"Jesse Crawford, 
Jodie Hill, 
Lelani Mitchem, 
Amanda Jacobs"
tt21330438,Promise Chronicles - Manifestation,2022,160 min,"Action, Adventure, Drama",9.2,"A despairing group of Christian people and non believer's band together during the biblical period known as Tribulation. Not only to survive death, but to escape America. And uncover a ...                See full summary »",Anthony N. Wright,"Kyle Ament, 
Jessi Ball, 
Ronan Ball, 
Sarah Ball"
tt4364398,Inside the Belly of a Dragon,2016,,Adventure,9.2,"Inside the Belly of a Dragon follows a remarkable voyage of discovery and recovery for the renowned Irish Clown, Hugh W Brown. Arriving in Cambodia broken hearted and disenchanted with life...                See full summary »","Hugh W. Brown, 
Ian Wiggins",Hugh W. Brown
