movie_id,movie_name,year,runtime,genre,rating,description,director
tt21627952,Dec-24,2023,,"Horror, Thriller",9.7,Finding Medicine for Breathing issues that newborn baby's facing in some parts of the state of karnataka due to some environmental problems.,Nagaraj 'MG' Gowda
tt13449566,WJHC AM,2022,105 min,"Comedy, Horror, Thriller",9.6,"A smart ass DJ wants to start a career in radio, but the only place that will hire him is an old Southern Gospel Radio station. His first night shift happens during Y2K AND the rapture. Literally, all hell breaks loose.","Vinnie Vineyard, 
Luke Walker"
tt10724432,Slaughter Beach,2022,78 min,"Comedy, Horror",9.6,Two wannabe heroes track down a crazed serial killer who is terrorizing their coastal town.,Daniel C. Davis
tt2368905,Heavy Makeup,2015,120 min,"Horror, Mystery, Thriller",9.6,"After a series of brutal murders occur in their quiet Hollywood neighborhood, two women search for clues to uncover the identity of a serial killer who is targeting struggling young actresses.",Chris Morrissey
tt23712068,Accept or Reject,2022,150 min,"Horror, Thriller",9.5,A group of young people is indulging in an unfamiliar internet game. A game of knowledge and skills which at first glance appears harmless over time turns into a fight for life.,Bozidar Pesic
tt1553086,Muttnik,2009,84 min,"Crime, Horror, Thriller",9.5,"Samuel, a serial killer and the feral boy-dog Muttnik hunt down and kill people that abuse and murder animals. When a runaway teenage brother and sister, and an escaped convict and his ...                See full summary »",William Szarka
tt2346094,Girls on a Boat,2012,60 min,Horror,9.5,"Girls On A Boat is a feature film about four female dancers embarking on a spooky vacation. Miss Red's new boyfriend, Jerry Finklestein, invites her and her three friends to the famous Boat...                See full summary »",Vio Rafael
tt13074922,Valentine Crush,2021,62 min,Horror,9.4,"A roller derby player gets in a little over her head after she meets her ""number one fan"".",Jamie Wede
tt6143060,La otra magia,2016,100 min,"Fantasy, Horror, Mystery",9.4,In the depths of the city of Buenos Aires there is a strange house where ceremonies and rituals full of occult elements are performed.,Leandro Bartoletti
tt1621939,Shards of Glass,2009,73 min,"Drama, Fantasy, Horror",9.4,Death disguised as a woman leading a suicide cult tries to influence people to die by their own hand.,Lisandro Boccacci
tt4596064,Cannibillies,2016,,Horror,9.4,"'Tis the season for the Harvest of the Black Moon. The Iscariot family has chosen three people to be the souls to harvest for their holiday feast. According to cannibal customs, the three ...                See full summary »",Jeremy Allen
tt17158438,Presa Nocturna,2022,125 min,"Drama, Horror, Mystery",9.4,"A Murderer named ""The Umbrella Man"" starts killing one person per night in a town called ""Jalos"" A Detective must stop this nightmare next to the Commander of the town, who nobody trusts.",Miguel Angel Pérez
tt22336852,Riyaa,2022,122 min,"Horror, Thriller",9.4,"The story is about 5 characters who have a dream of becoming great musicians. To accomplish this, they look for a peaceful place to work on their music.",Vijaya Naresh
tt15197250,Sin Apple,2022,110 min,Horror,9.3,A man places a woman under a spell to make her fall in love with him. Problems arise when her true love comes back into the picture.,Kenya Cagle
tt11143304,Moksha,2022,120 min,"Crime, Horror, Mystery",9.3,Moksha is a suspense thriller revolving around a sinister masked man and the mystery around his identity. Who is this Mask-Man? and what he is going to do? lies the crux of the film. With a...                See full summary »,Samarth Naik
tt3036216,Zombi Apocalipsis Sensuale,2013,50 min,Horror,9.3,Bondini is a mad doctor who is creating an army of Zombie Cannibals and trying to give birth to the first zombie baby,Germán Magariños
tt23874814,Backrooms: The Movie,2022,11 min,Horror,9.2,Kane Pixels (Kane Parsons) Falls Into The Backrooms And Try's To Get Out Of It,Gideon Bratland
tt20863740,Miltown,2022,,"Horror, Thriller",9.2,"When an ancient being infiltrates an imaginative young man's family ranch, he must take it upon himself to discover who can be trusted and who is turning them against each other.","Chris Beyrooty, 
Connor Martin"
tt11297302,Spooky Month - The Stars,2019,68 min,"Animation, Comedy, Horror",9.2,It's Spooky Month! This Time Skid and Pump meet a new friend. And he can show them the stars.,David Cazares
tt22184520,Deer Camp '86,2022,85 min,"Comedy, Horror, Thriller",9.2,"In the fall of 1986, six knuckleheads from Detroit travel north to partake in the annual tradition of deer hunting. But something horrific has been awakened and the hunters become the hunted.",L. Van Dyke Siboutszen
tt14188996,Repulse,2021,86 min,"Drama, Horror, Thriller",9.2,A dark drama starring an unexpectedly maniacal Stepán Kozub and an unstable heroine played by Pavla Gajdosíková.,Emil Krizka
tt2431128,House Call,2013,,Horror,9.2,"When 16-year-old Mariam's little brother Vince falls ill on her watch, she calls their family doctor to make a house call. But when the doctor ends up dead, nothing prepares the children ...                See full summary »","Shannon Casto, 
Michelle Henderson, 
Parrish Randall"
tt11494776,La Noche de la Bruja,2019,45 min,"Drama, Horror, Thriller",9.2,Add a Plot,Stiff Sullivan
tt1881071,The Devil's Whispers,2009,47 min,"Horror, Thriller",9.2,"Maric Drogovski has lived with guilt for over a year. But when the time comes to face up to what he has done, he not only makes things worse, he throws himself into another realm without any hope of redemption.",David Izatt
tt2379727,Bukunja Tekunja Mitti: The Cannibals,2012,76 min,"Action, Horror",9.2,It's an action packed movie,Nabwana I.G.G.
tt7600566,Dark Ditties Presents 'Finders Keepers',2018,50 min,Horror,9.2,Two inept poacher brothers stumble upon a barely breathing man with a locked briefcase in the woods.,Adam Evans
tt4470260,The Arc,2016,,"Action, Crime, Drama",9.1,"A secret organization with a hidden agenda sets in motion the beginning of Armageddon. Governments have been infiltrated, law and order become an illusion, and humanity struggles to hang on...                See full summary »",J.T. Woods
tt13632748,Blackout,2020,64 min,"Horror, Mystery",9.1,This film looks back on the mysterious disappearances that took place at the fort of Mont-Tarb in November 2018.,Arthur Sauvion
tt18555994,Kapala,2022,,"Horror, Thriller",9.1,The movie begins from Bangalore. 2 siblings live along with their friend in an apartment in the city. The younger brother falls unexpectedly in deep trouble which turns almost fatal.,Vinay Yadunandan
tt21283792,Topless Tori's Tomb of Terror,2022,,"Comedy, Crime, Drama",9.1,"An anthology tribute to late night horror host shows featuring shot-on-video short films from three independent filmmakers, as well as mock commercials, commentary tracks and more.","Tony Masiello, 
Joshua Coughlin, 
Dean Houlihan, 
Steven Haar, 
Gabriel Jewett"
tt14599774,House No. 446,2021,,"Horror, Thriller",9.1,Add a Plot,Kritika Sachdeva
tt14642156,Reunion from Hell 2,2022,98 min,Horror,9,"Picking up two years after the events of the first film, we follow Riley Conner and his friends as they leave to celebrate Christmas at a secluded cabin in the mountains after an anonymous ...                See full summary »","Hayden Newman, 
Sam Hodge"
tt10943762,The Red Tide Massacre,2022,,Horror,9,A female TV reporter investigating the red tide environmental disaster in Southwest Florida becomes the target of an unknown monster.,"John A. Russo, 
Gavin Peretti, 
Joseph M. Setele"
tt13261048,La Bruja,2021,90 min,"Horror, Thriller",9,"40 years ago, a man made a pact with a witch in exchange for the life of his granddaughter when she turned 15. Now the time has come, and the family must fight.",Ronny A. Sosa
tt20724798,Rip Real Horror Story,2021,,Horror,9,"Presenting South (Sauth) Indian Movies Dubbed In Hindi Full Movie (Hindi Movies, South Movie) ""RIP REAL HORROR STORY"" starring Vijay Chendur, Hanumanthe Gowda and Aarti Kulkarni, Raj Nitish Kumar. Exclusively on South Hotstar Heroines",Somnath P. Patil
tt5254458,The Belly of the Beast,2008,89 min,Horror,9,"In 2008, 12 Disciples of Satan are released upon the earth, to do battle with 12 Disciples of direct descendants of the Apostles.",Corbin Timbrook
tt4565982,Toxin: 700 Days Left on Earth,2015,,"Action, Drama, Horror",9,"Seven hundred days after U.S. President Austin (Lee Majors) announces a new, rapidly spreading virus, a resulting plague has killed most of humanity and transformed the rest into mutants. ...                See full summary »",Shawn Welling
tt5901606,Afterthought,2016,75 min,"Drama, Horror, Thriller",9,"After Ben Sawyer's best friend commits suicide, his life quickly spirals out of control as chunks of time vanish from his memory and dark figures stalk him around every corner.",Nathan Airhart
tt14391264,Lucifer'e and The Great Controversy,2020,128 min,Horror,9,"LUCIFER'E dreamed of introducing her new magic world in the Earth and wished all the men and earth dweller creatures will bow down to witchcraft, that didn't succeed because Angel Joe came to the rescue.",Joseph Squellati
tt2187185,Ward 3,2012,,Horror,9,Add a Plot,"Saad Abbas, 
April Choi, 
Nicholas Feron, 
Christian Hockin, 
Ross Peacock, 
Sam Pope, 
Marta Savina, 
Ryan Thompson"
tt2255946,Shadows,2012,90 min,Horror,9,Two young women are invited to a strange party in a large country house. There they join in a game where they play undead creatures hunting for the mortal victims in their midst - but ...                See full summary »,Richard A. Becker
tt2246695,Frankenstein's Patchwork Monster,2015,100 min,Horror,9,"A wager is made, a book of horror fiction is written. It becomes know as, ""Frankenstein, or a Modern Prometheus"", by Mary Shelley. Though what happens if fiction was fact? Can a soul be immortal. Is everlasting life worth such misery?",Emil Novak
tt4939078,Sins of Man: Rise of Mortis,2015,101 min,Horror,9,A young girl has finally dealt with the events of her past when a killer strikes her small Maine town turning her life upside down for a second time.,Jamie Santamore
tt1899109,Abomination,2011,84 min,"Drama, Horror",9,"A film at the intersection of fundamentalist fervor and mental illness. Kurt Schroeder, a Christian rock musician embarks on a documentary project that chronicles his spiral into murder, madness and mayhem.",Ryan McLaughlin
tt11241394,Hair-Trigger,2022,,"Crime, Horror, Thriller",8.9,A group of novice criminals find themselves laying low in the middle of nowhere. Chaos and confusion set in as they find out they may not be alone.,Steven Gerald Warkel
tt11469466,The Haunted House: The Sky Ghost vs Jormungandr,2019,97 min,"Animation, Action, Adventure",8.9,Add a Plot,Byeon Young-Kyu
tt19784370,Bairan Palli,2022,91 min,"Horror, Thriller",8.9,Telugu film directed by Venkat Kacharla.,Kacharla Venkat
tt15052620,Human Hibachi 2,2022,83 min,Horror,8.9,"Set in the deep woods, a cannibal family obsessed with the first ""Human Hibachi"" video have have made it their life's mission to find the only two individuals left from it. If successful, ...                See full summary »",Mario Cerrito
tt12631534,Rosie: The Saffron Chapter,2022,,"Horror, Thriller",8.9,A film based on true events in Gurugram.,Vishal Mishra
tt0976146,Martyr,2006,73 min,Horror,8.9,"An Innocent Man, Condemned by God, Persecuted for His Faith. Martyr is a controversial horror story based on the Book of Job from The Old Testament.",Shaun Troke
tt13091802,Eihwaz,2021,,Horror,8.9,Three friends take a vacation in the Swedish wilderness. Unaware of what ancient horror that awaits them.,Axel Rydén
tt5684312,Flesh and Blood a Go! Go!,2017,,"Drama, Horror",8.9,A series of graphic murders have been happening on the set of photo shoots.,Adrian Baez
tt1672765,Hollywood Christ,2010,110 min,"Fantasy, Horror, Mystery",8.9,A street performer who portraits Christ finds himself trapped in a limbo between birth and death.,Javier Barbera
tt13871422,Enter the Drag Dragon,2023,99 min,"Action, Adventure, Comedy",8.8,"Crunch is a part-time amateur detective / full-time Drag Queen. Crunch finds himself over his head dealing with corrupt cops, gangsters, zombies, androids, mummies and ghosts. Don't miss this first ever Drag-Fu Odyssey.",Lee Demarbre
tt0214915,Manichithrathazhu,1993,169 min,"Comedy, Horror, Mystery",8.8,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Fazil
tt11706558,Fang,2022,98 min,"Drama, Horror",8.8,Psychological Thriller about a young man dealing with his mental struggles while living with his failing mothers health and breaking down himself.,Richard Burgin
tt16350506,Loving Polly,2021,45 min,Horror,8.8,"After a young teenage girl leaves a summer concert in the mid 90's, she is viciously attacked and abducted by a young man with animalistic-like behavior. Polly awakens confused and ...                See full summary »",John Theissen Jr.
tt4879102,Films Confiscated from a French Brothel,2021,,"Comedy, Crime, Drama",8.8,"A bare all Avant-garde Anthology homage to silent stag films, vintage erotica and pre-code sexiness.","Selene Kapsaski, 
Gabriella Kapsaski, 
Bob Moricz, 
Drusilla Phillips, 
Craig Podmore, 
J.P. Schmidt"
tt18265146,Victoria : Ek Rahasya,2023,109 min,"Horror, Thriller",8.8,A couple arrives at Hotel Victoria and are greeted by the creepy owner who is the only occupant of the sprawling property. The hotel seems to house a sinister presence that harasses the couple till the secrets of the hotel are unearthed.,"Jeet Ashok, 
Virajas Kulkarni"
tt21116530,Terrace 13B Case,2022,,"Crime, Drama, Horror",8.8,"On 25th April, 2011 a horrific and tragic incident occurred which remained unsolved. Till the date no explanation or evidence found to be satisfying to suggest what exactly happened on that day. This film is a record of those events.","Prem, 
Prem"
tt7556244,Grinders,2022,85 min,"Comedy, Horror",8.8,"Two brothers, One a Butcher and one a Lawn service provider. Lawn service with an edge. A small town in Georgia has several of its towns people dissapear.",Andrew Heller
tt22973154,He Comes to Kill,2022,50 min,Horror,8.8,Stanley Elk has escaped the mental asylum and is on his way into town with one intention...He Comes to Kill,August Anthony Aguilar
tt21477440,Gumnaam Ek Thriller Night,2021,,"Horror, Thriller",8.8,It's a story of ketan and Anu who go to a haunted jungle with their friends and lost in it. They meet Mahesh in the jungle who came to search for his brother and all started searching for ...                See full summary »,Ketan Pendse
tt12804904,Self Isolated,2021,83 min,"Drama, Horror, Mystery",8.8,"After awakening from a coma, a woman searches for clues into her missing husband's disappearance.",Chad Ridgely
tt18260604,Kapo Kalpitham,2021,,Horror,8.8,"A Media Press Team Looking for the Craftsman Beyond a Haunted Bungalow, But Gets Trapped by a Team of Rubbers in the same Bungalow. Who will survive? The Runners or The Press Reporters? is the key point of the Movie.",Sumitra Ramesh Gowda
tt21340594,The Children Under the House,2022,80 min,Horror,8.8,"Julia Luu, a child therapist, finds that a young girl's imaginary friends might be more than they seem.",Paul Catalanotto
tt8456398,American Barbarian,2018,46 min,"Comedy, Drama, Horror",8.8,"Following the election of Donald Trump, a young Chicago woman embarks on a desperate journey as she struggles to maintain her sanity.",Paul L. Carr
