movie_id,movie_name,year,certificate,runtime,genre,rating,description,director
tt26520259,Invisible Hacker,2023,,150 min,"Action, Sci-Fi",10,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »",Juwel Chowdhury
tt26589967,Time's Paradox,2023,,130 min,"History, Sci-Fi",10,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...                See full summary »",Juwel Chowdhury
tt26626687,The Universal Quest,2023,,145 min,"Adventure, Sci-Fi",10,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »",Juwel Chowdhury
tt9691846,Neon Tank,2022,,,"Drama, Sci-Fi",9.8,"In a neon-lit world where death is just a transition, a skilled hacker confronts his own values as he navigates a society of soul-traders.",Mikey Bharj
tt8714784,Turning Mecard W: The Secret of Van dine - Special Edition,2018,TV-Y7,76 min,"Animation, Action, Adventure",9.4,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »",Heon Pyo Hong
tt21093826,Star Battleship Wars,2021,,,Sci-Fi,9.4,Add a Plot,James Thomas
tt19854066,Doctor Strange: Multiversal Madness,2022,,,"Action, Mystery, Sci-Fi",9.3,Doctor Strange embarks on a multiversal journey with Brother Voodoo to stop Wanda before its too late.,Mario Durán Araujo
tt18183916,Star War the Third Gathers: The Backstroke of the West,2010,,140 min,"Action, Sci-Fi",9.3,Mistranslated fandub of Star Wars: Episode III - Revenge of the Sith (2005).,"Benjamin Norman Pierce, 
Tom Schalk, 
Zachary Skoubis"
tt24053810,Fixion,2022,,55 min,Sci-Fi,9.3,"Ted has a mission. In his journey, he will cross paths with people who dare to break the silence of the world to share an idea worth spreading.",Juan Marciano Ferrero
tt18560214,Backwards Faces,2022,,68 min,"Comedy, Sci-Fi",9.2,Quantum mechanics and the many-worlds interpretation make the morning after a one night stand between a theoretical physicist and a man from a different universe one to remember.,Chris Aresco
tt12820524,Helsreach: The Movie,2019,,150 min,Sci-Fi,9.1,The Black Templars and the Astra Militarum's Steel Legion fend off a massive ork waaagh during the 3rd battle for Armageddon.,Richard Boylan
tt19872700,Animator vs Animation V,2020,,31 min,"Animation, Action, Adventure",9.1,"In the final battle, The Chosen One returns to stop his sworn enemy.",Alan Becker
tt15465194,Dr. 56,2022,,105 min,"Crime, Mystery, Sci-Fi",9,"The story is based on some real events happening in the society. This is a science fiction medical thriller murder mystery story . PRIYA, who is a CBI officer, comes to the City for ...                See full summary »",Rajesh Anandaleela
tt13751370,Stabiliti,2022,,116 min,"Action, Crime, Sci-Fi",9,Modern science takes a leap as Indian R&AW agents try to tackle a criminal mastermind who wreaks havoc across the country.,Goutham Kanade
tt15873942,Planet of the Astronauts,2022,R,90 min,"Adventure, Comedy, Sci-Fi",8.9,"Justin Souriau-Levine Studio's most recent production is a fun-filled adventurous comedy about three lovable astronauts who return to Earth after a failed mission to Uranus, and four years ...                See full summary »",Justin Souriau-Levine
tt1375666,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan
tt9020558,Hollywood Burn,2006,,52 min,"Action, Comedy, History",8.8,Popular culture references are marshalled in a critique of copyright.,Soda Jerk
tt0133093,The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, 
Lilly Wachowski"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124 min,"Action, Adventure, Fantasy",8.7,"After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner
tt21343836,TeraStorm,2022,,62 min,"Animation, Action, Sci-Fi",8.7,A team of superheroes unites in an attempt to vanquish an ancient wizard who threatens to destroy the earth with a powerful mysterious artifact.,Andrew Kaggia
tt7789478,Mirror's Edge Catalyst: Alpha,2017,,71 min,Sci-Fi,8.7,"Information is heavily monitored in an urban metropolis, ruled by what is known as The Conglomerate. The need to transfer data outside of prying eyes gives rise to a new profession: Runners...                See full summary »",Francois D
tt11772670,Máquina para ver el alma,2021,,112 min,"Comedy, Drama, Romance",8.7,"Valeria, a young woman scientist, seeks to demonstrate the existence of a type of energy typical of living beings, struggling with the rigid system of beliefs in a scientific world ruled by men.","Ana Laura Monserrat, 
Nahuel Srnec"
tt3739806,How to Time Travel,2016,,91 min,"Comedy, Drama, Sci-Fi",8.7,"How To Time Travel follows the character of Jones. Jones proposes to his girlfriend only to receive the worst possible reply, 'No'. Not being able to handle the heartbreak, Jones works on ...                See full summary »",Samuel Sheffield
tt6361210,Tamarrud,2016,,75 min,"Sci-Fi, Thriller",8.7,"The CDC was supposed to help the citizens by creating Pax-A, a cure for everything. The country became divided as people got sick and overrun by the scavengers. Can the rebels find a cure or will the CDC silence them?",Maverick Knox
tt0290669,Inseguito,2002,,97 min,"Sci-Fi, Thriller",8.7,Add a Plot,Luca Guardabascio
tt0816692,Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan
tt0076759,Star Wars,1977,PG,121 min,"Action, Adventure, Fantasy",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas
tt0103064,Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",James Cameron
tt1795369,Frankenstein,2011,,130 min,"Drama, Sci-Fi",8.6,"Created by Victor Frankenstein, the one known only as 'The Creature' sets out to discover the world and the meaning of his life.","Danny Boyle, 
Tim Van Someren"
tt11080042,A Hard Problem,2021,,109 min,"Drama, Sci-Fi",8.6,"While packing up his childhood home after the death of his mother, Ian struggles to reconnect with his estranged sister. Along with the help of a stranger, Ian processes his past and comes to terms with his future.",Hazart
tt12763776,Monarca,2020,,,Sci-Fi,8.6,"Juan Medina, an ex-military man, returns to protect his wife and daughter from a hidden project called Monarca.",Carlos Carrasco
tt14879560,Kaizoku Sentai: Ten Gokaiger,2021,TV-PG,61 min,"Action, Adventure, Comedy",8.6,"The 35th Super Sentai is an unbelievable team that uses the powers of previous teams to fight. They are the Kaizoku Sentai Gokaiger. Though they came to Earth seeking the ""greatest treasure...                See full summary »",Shôjirô Nakazawa
tt3139486,Stranger in the Dunes,2016,Unrated,93 min,"Sci-Fi, Thriller",8.6,A troubled married couple and their long-lost friend become ensnared in a supernatural phenomena while vacationing at an isolated beach house.,Nicholas Bushman
tt9750288,Eleven Eleven,2019,,90 min,Sci-Fi,8.6,"Set on the island planet of Kairos Linea, Eleven Eleven is a multi-linear narrative that places users in the center of the action as its inhabitants count down the final 11 minutes and 11 ...                See full summary »",Keith Arem
tt14179838,Carrie and Jess Save the Universe!,2022,,78 min,"Adventure, Comedy, Musical",8.6,"Carrie and Jess, a couple of rad besties, take a vacation to the Beach Planet, but their plans are interrupted when they encounter the heinous Space Queen, who's using a portable black hole to usurp power from the President of Earth.",Joshua Courtade
tt2101405,New Prime,2011,,60 min,"Action, Comedy, Sci-Fi",8.6,"Two bounty hunters attempt to take down a terrorist known as ""The Phantom"" and to save the planet, New Prime.",Olan Rogers
tt14654904,The Contact Enigma,2021,,52 min,"Mystery, Sci-Fi",8.6,Three people become connected through mysterious circumstances involving electronic devices which spontaneously appeared in their world.,Joel Shelton
tt8873706,Carbon Copy,2017,,,Sci-Fi,8.6,Add a Plot,Andrew Bellware
tt23865064,Metamorphosis,2022,,,"Action, Horror, Sci-Fi",8.6,Researchers become trapped in their facility when a mutant T-Rex escapes from its cage. Unable to defend themselves from the creature they turn to other mutant animals in order to escape being eaten.,Chen Liang Yan
tt5360936,I Have a Bad Feeling About This,2018,,88 min,"Adventure, Comedy, Sci-Fi",8.6,"'I Have a Bad Feeling About This', follows the exploits of Andy and Sam, two Star Wars obsessed slackers in their early twenties living in the suburbs of Liverpool. Sam is leaving Andy to ...                See full summary »",Alan Donohoe
tt11243170,Kamen Rider Ex-Aid Trilogy: Another Ending - Kamen Rider Genm vs. Lazer,2018,,60 min,"Action, Fantasy, Sci-Fi",8.6,Kuroto Dan has obtained the God Maximum Mighty X and the world falls into the chaos. Kiriya has found the key to face the power that not even Muteki can overcome and ready to face him.,Nobuhiro Suzumura
tt8908598,A Hero to the End,2014,,,"Drama, Sci-Fi",8.6,A tale of love and betrayal set in a post-apocalyptic world.,David Lussier
tt2136889,ED & The Awakening,2011,,77 min,"Comedy, Horror, Sci-Fi",8.6,"Can you imagine a world without Lizards? No you can't, because it doesn't exist.",Patrick Love
tt3373586,A City to Make Me,2015,,,Sci-Fi,8.6,"The City is the world, a world filled with NOISE--a virtual ocean, a digital jungle, and war has been declared against North America's business elite by a group of former political ...                See full summary »",Ryan Miller
tt6088364,Amare,2018,,70 min,"Drama, Fantasy, Music",8.6,"At the end of the world, a songwriter decides to fulfil the promise of showing the sea for the love of his life. On their way there, they relive their whole relationship and how they ended up where they are now.",M.M. Izidoro
tt0088763,Back to the Future,1985,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis
tt0482571,The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan
tt0078748,Alien,1979,R,117 min,"Horror, Sci-Fi",8.5,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott
tt20784426,Maro Prapancham,2023,,109 min,"Drama, Sci-Fi, Thriller",8.5,"There are many mysteries in this whole universe that are beyond the comprehension and beyond the imagination of the human brain. One of them is Parallel universe concept"". The story is ...                See full summary »",Kilaru Naveen
tt10766468,Gintama: The Final,2021,,104 min,"Animation, Action, Comedy",8.5,The concluding movie to the Gintama anime series.,Chizuru Miyawaki
tt16766174,Sith Wars: Episode II - Legacy of the Sith,2022,,106 min,"Action, Fantasy, Sci-Fi",8.5,"After the defeat at Agamar, Darth Vader discovers that both Master Yoda and Master Vaal, are training a new apprentice who is rumored to be able to defeat the sith, now he takes a personal vendetta against the rest of the Jedi order.",Rui Constantino
tt0252196,Aditya 369,1991,,140 min,"Adventure, Comedy, Sci-Fi",8.5,"A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summary »",Singeetam Srinivasa Rao
tt9106768,Michael Jackson: Smooth Criminal (II),1988,TV-PG,48 min,"Action, Crime, Fantasy",8.5,Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.,Colin Chilvers
tt12844798,Residents of Arcadia,2021,,83 min,Sci-Fi,8.5,"Two successful online influencers are confronted with the appearance of a mysterious countdown on their mirrors, that threatens to reveal what's behind their apparently perfect life.",Dom Cutrupi
tt5720116,DownLoad,2015,,85 min,"Action, Fantasy, Sci-Fi",8.5,Circuit crashes on a hostile planet with no memory. He must find his way back to the Orbitor Space Station to complete his mission. Will he make it or be deleted in the process?,Bruce Harner Jr.
tt8041806,Deep Astronomy and the Romantic Sciences,2022,,,"Comedy, Fantasy, Musical",8.5,Grace is a robot incognito whose primary function is to represent humanity based on a generalization created from all social media and wireless communications. Rudy is her final test.,Cory McAbee
tt21025396,Alien Troopers,2021,,92 min,"Action, Sci-Fi",8.5,Add a Plot,Hui Yu
tt4793436,1 + 1 = 11,2018,,85 min,Sci-Fi,8.5,"A Science Fiction feature about a young woman who, tormented with guilt after her involvement in a random tragic incident, travels back in time across all timelines in the hope of redeeming herself.",Martyn Park
tt9378600,Noise,2019,,105 min,"Sci-Fi, Thriller",8.5,A man deafened by an accident begins to hear the thoughts of other people and uses the ability to investigate the disappearance of a missing girl.,Jeremy Laval
tt6450046,Armor Hero Captor King,2016,,86 min,Sci-Fi,8.5,Add a Plot,"Kuo-Wei Cheng, 
Young Kyun Park"
tt10167116,The Marked,2020,,,"Drama, Sci-Fi",8.5,"In a futuristic dystopian world young women are remote viewers for the government. A remote viewer, on a journey to deliver a family heirloom, must decide whether she will die as a hero or escape to live the life of a regular teenager.",Laura Duval
tt3770750,Tomorrow Ever After,2016,,95 min,"Comedy, Sci-Fi",8.5,"When a historian living in the year 2592 time-travels to 2015, she navigates the societal woes that she's read about in history books.",Ela Thier
tt12814530,"Theoretically, a paranoid conspiratorial phone call",2020,,92 min,"Action, Adventure, Comedy",8.5,"When it is the time to shape reality, the spy world calls The Pro Bono Spy Hunter.",Jorge Luis Villacorta Santamato
tt17158678,Black Hole Alien Brain Zombies!,2021,,,Sci-Fi,8.5,"A Black Hole, Aliens, Brains, Zombies and Unicorns. Everything is here.",Metatron
tt6272452,Rose-Colored,2016,,,"Drama, Sci-Fi",8.5,"Victoria's personal A.I., Klive, is only doing what his programming considers will benefit his user. It's his job to make sure she's happy, no matter what. Deep down, Victoria knows ...                See full summary »",Adam Cosco
tt6452034,Awakening of 12 Strands,2016,,,Sci-Fi,8.5,"This is a film that gives us an inside look into the hidden world of mystery and intrigue. A film that brings forth to us a powerful revelation of self-discovery. After some bad news, a ...                See full summary »",Sandra Daroy
