movie_id,movie_name,year,certificate,runtime,genre,rating,description,director
tt12718280,She Inherited Danger,2022,,,Thriller,10,Add a Plot,Peter Foldy
tt22768254,Kalpvariksha (Part One): Paramchakra,2022,,50 min,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences,Rehan Katrawale
tt24177410,Kida,2022,,123 min,"Drama, Thriller",9.8,"The story revolves around three characters - a grandfather, his grandson and his pet goat and a butcher. They are forced to take hard decisions to fulfill their dreams by the dawn of Diwali.",Ra. Venkat
tt10322456,Burhan vs afspa,2019,,,Thriller,9.8,"Burhan film is inspired story of burhan want,which shows the negative side of some dirty political people who uses religion,it's not exactly his story but only inspired by him,",Shahid Kazmi
tt18291334,Ekalavya,2022,,"5,538 min","Drama, Thriller",9.8,Add a Plot,Alfred
tt2094807,Dark Highway,2012,,78 min,Thriller,9.8,Add a Plot,Anthony Repinski
tt11424466,"The Anthology of Julius, the Nigerian Immigrant",2021,,,Thriller,9.8,A Nigerian immigrant seeking his green card is caught in a web of deception when the FBI forces him to bust the very same con he used to steal millions from others.,Ofu Obekpa
tt9529786,King James,2019,,,Thriller,9.8,"A year after his mentor, Jake, was felled during an undercover exchange of information with The Canon. Frank Vincent has desperately struggled to battle his own demons while seeking answers that will finally bring him face to face with The Canon and their Systemiser.","Steve Balewicz, 
M.C. Nowell"
tt16426178,The Trees of the East,2018,,71 min,Thriller,9.8,"A hustler in East Atlanta is rumored to have buried something in the woods before his murder. The streets are on a treasure hunt to recover the lost stash. Meanwhile, a group of assassins wreak havoc on the city.",Mike Ellwood
tt3599496,The Awakening,2014,,,Thriller,9.8,Add a Plot,Kelly Weaver
tt26698795,Marika,2022,,109 min,Thriller,9.8,"Marika Vargosh is a girl with a dark past and a difficult present. An orphan with no education, she is forced to work in a brothel in order to have enough to live on.",Andrey Renkevich
